"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","FGM","FGA","3PTM","FTM","FTA","PTS","REB","AST","ST","BLK","TO","3D","2D"
"*01eo6*","James Harden","LAC","PG,SG,G,Flx","29","Jmarr237","34","","668","39.29","100%","26.06","99%","+0.1%","4.8","10.4","2.4","3.9","4.6","16.0","4.5","6.8","1.5","0.6","2.3","0.0","2"
"*01eon*","DeMar DeRozan","CHI","SG,G,SF,PF,F,Flx","23","BBB","34","","852","38.73","100%","45.96","100%","+0.1%","7.9","17.8","1.0","5.8","7.2","22.6","3.5","5.3","1.0","0.7","1.3","0.0","3"
"*051ot*","Tyler Herro","MIA","PG,SG,G,Flx","132","STARKS","24","@MIL Tue 5:00PM","309","38.62","100%","70.48","99%","+0.1%","8.5","19.0","3.1","2.8","3.1","22.9","5.0","4.6","1.4","0.0","2.5","0.0","1"
"*042nq*","Dejounte Murray","ATL","PG,SG,G,Flx","31","SDP","27","","849","38.59","100%","35.81","100%","0%","7.6","17.0","2.3","2.6","3.0","20.0","4.5","5.4","1.7","0.2","2.3","0.0","3"
"*051oh*","Zion Williamson","NO","PF,F,Flx","58","STARKS","23","","771","38.55","100%","46.81","99%","+0.1%","9.0","15.4","0.1","4.8","7.3","22.9","5.5","4.7","1.1","0.3","2.6","0.0","2"
"*03ajv*","Julius Randle","NY","PF,F,Flx","43","BBB","29","","839","38.14","100%","44","99%","-0.1%","7.8","17.5","1.7","4.7","6.5","22.0","9.6","5.4","0.7","0.2","3.3","0.0","12"
"*02xg9*","Rudy Gobert","MIN","C,Flx","34","Jmarr237","31","@POR Tue 7:00PM","838","38.09","100%","64.04","99%","-0.1%","5.0","8.2","0.0","3.2","5.0","13.3","12.2","1.0","0.5","2.5","1.6","0.0","16"
"*03ad2*","Myles Turner","IND","C,Flx","47","Jmarr237","27","","799","38.05","100%","42.53","100%","-0.1%","6.4","12.5","1.4","3.1","4.1","17.4","8.0","1.4","0.7","2.1","1.4","0.0","7"
"*027pe*","Jimmy Butler","MIA","SF,PF,F,Flx","80","STARKS","34","@MIL Tue 5:00PM","721","37.95","100%","26.59","98%","+0.2%","6.8","14.7","1.0","7.3","8.2","21.9","5.1","4.3","1.2","0.5","1.7","0.0","2"
"*03el5*","Kristaps Porzingis","BOS","PF,F,C,Flx","68","STARKS","28","@BKN Tue 4:30PM","603","37.69","100%","36.68","99%","0%","6.6","12.0","1.7","4.3","5.3","19.1","6.4","1.8","0.8","1.6","1.3","0.0","1"
"*04qrp*","Miles Bridges","CHA","SF,PF,F,Flx","59","Jmarr237","25","","413","37.55","73%","169.55","95%","+0.3%","7.4","14.7","2.1","3.2","3.7","20.0","6.9","2.5","1.4","0.3","1.5","0.0","3"
"*04ewr*","Kyle Kuzma","WAS","SF,PF,F,Flx","38","BIGFOOTS","28","","818","37.18","100%","71.88","99%","0%","9.0","19.0","2.2","2.6","3.3","22.8","5.9","4.5","0.3","0.6","2.4","0.0","4"
"*051pb*","Nicolas Claxton","BKN","C,Flx","61","Orcas","24","BOS Tue 4:30PM","477","36.69","100%","54.95","99%","+0.1%","5.2","7.9","0.0","1.4","2.3","11.7","9.4","1.5","0.5","2.5","0.7","0.0","4"
"*042n1*","Brandon Ingram","NO","SG,G,SF,PF,F,Flx","36","SDP","26","","768","36.57","100%","51.53","99%","+0.2%","8.8","18.0","1.3","4.0","5.0","22.9","5.1","5.4","0.7","0.1","2.7","0.0","0"
"*042nm*","Pascal Siakam","IND","PF,F,C,Flx","22","STARKS","29","","838","36.43","100%","29.89","99%","0%","7.9","15.9","0.8","4.0","5.4","20.7","6.8","5.0","0.9","0.2","2.5","0.0","4"
"*042n4*","Jamal Murray","DEN","PG,SG,G,Flx","60","CCC","26","","398","36.18","100%","43.31","99%","+0.1%","6.7","14.6","2.5","2.5","2.8","18.5","3.5","6.5","0.4","0.7","2.2","0.0","2"
